season,week,status,outcome,competitive_end_week,target_lights,source_hash,event_count,solutions_remaining,information_bits,information_progress,decision_count,mean_elimination,observed_nights,latest_lights,week_lights,cumulative_lights,light_form,secure_matches,confirmed_boxes,double_match_found,box_information_gain,night_information_gain,terminal,metric_version
s1,1,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,2,12014640,1.5946991243903104,0.06350096800823803,2,0.42459469081240664,1,1,1,1,0.1,0,0,False,0.10000000000000009,0.6321208112874779,False,2
s1,2,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,4,2029330,4.1604171518973985,0.16566793849878578,4,0.5137076801362026,2,2,2,3,0.15000000000000002,0,0,False,0.09722222222222232,0.8129054860762177,False,2
s1,3,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,6,150138,7.91705956518306,0.3152575545309926,6,0.5993289794387145,3,3,3,6,0.225,1,1,False,0.915682515904264,0.12255417630969923,False,2
s1,4,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,8,13568,11.385068755041118,0.4533537867601586,8,0.6270985258142654,4,2,2,8,0.21250000000000002,2,2,False,0.7484980484620816,0.6406779661016949,False,2
s1,5,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,10,1152,14.943064208162005,0.5950332747503877,10,0.6450485581847163,5,5,5,13,0.35625,2,2,False,0.1556603773584906,0.8994413407821229,False,2
s1,6,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,12,75,18.884170519108437,0.7519682488409741,12,0.6640498397837695,6,5,5,18,0.428125,3,3,False,0.8784722222222222,0.4642857142857143,False,2
s1,7,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,14,15,21.2060986139958,0.8444274967428269,14,0.6500359412041343,7,5,5,23,0.4640625,3,3,False,0.16000000000000003,0.7619047619047619,False,2
s1,8,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,16,1,25.11298920960432,1.0,16,0.6630892950209974,8,6,6,29,0.53203125,3,3,False,0.33333333333333337,0.9,False,2
s1,9,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,18,1,25.11298920960432,1.0,18,0.6197990787609561,9,7,7,36,0.616015625,3,3,False,0.0,0.0,False,2
s1,10,completed,won,10,10,813e4bb6a2252f34294a6203d0ae596b6dd9a0eddc9cd9c8cad95c960db298f9,20,1,25.11298920960432,1.0,20,0.5811950092637259,10,10,10,46,0.8080078125,4,4,False,0.0,0.0,True,2
s1vip,1,completed,lost,10,10,58fba7ede4078108dfad5c89f91d20abb74fbe72427152c15a80363df5e3c494,2,2051760,4.144558655465654,0.16503645268483577,2,0.7622164738864248,1,3,3,3,0.3,0,0,False,0.10000000000000009,0.9371766607877718,False,2
