Andre,Antonino,Dustin,Jordi,Leon,Marius,Max,Mike,Tim,William,id,mm1,mm2,lights
2,0,6,1,3,9,7,4,5,8,705708,0,10,10
2,10,6,1,3,9,7,4,5,8,705708,0,10,10
2,0,6,1,3,9,7,4,5,8,11627988,3,10,10
2,0,6,1,10,9,7,4,5,8,11627988,3,10,10
2,0,6,1,3,9,7,4,5,8,15256162,4,10,10
2,0,6,1,3,9,7,10,5,8,15256162,4,10,10
2,0,6,1,3,9,7,4,5,8,22533948,6,10,10
2,0,10,1,3,9,7,4,5,8,22533948,6,10,10
2,0,6,1,3,9,7,4,5,8,26147610,7,10,10
2,0,6,1,3,9,10,4,5,8,26147610,7,10,10
2,0,6,1,3,9,7,4,5,8,29776404,8,10,10
2,0,6,1,3,9,7,4,5,10,29776404,8,10,10
